DateTime,Energy_consumption_kwh
2014-01-01 00:00:00.0000000, 0.063 
2014-01-01 00:30:00.0000000, 0.049 
2014-01-01 01:00:00.0000000, 0.101 
2014-01-01 01:30:00.0000000, 0.086 
2014-01-01 02:00:00.0000000, 0.062 
2014-01-01 02:30:00.0000000, 0.06 
2014-01-01 03:00:00.0000000, 0.064 
2014-01-01 03:30:00.0000000, 0.111 
2014-01-01 04:00:00.0000000, 0.076 
2014-01-01 04:30:00.0000000, 0.056 
2014-01-01 05:00:00.0000000, 0.059 
2014-01-01 05:30:00.0000000, 0.089 
2014-01-01 06:00:00.0000000, 0.097 
2014-01-01 06:30:00.0000000, 0.061 
2014-01-01 07:00:00.0000000, 0.065 
2014-01-01 07:30:00.0000000, 0.071 
2014-01-01 08:00:00.0000000, 0.103 
2014-01-01 08:30:00.0000000, 0.078 
2014-01-01 09:00:00.0000000, 0.068 
2014-01-01 09:30:00.0000000, 0.063 
2014-01-01 10:00:00.0000000, 0.088 
2014-01-01 10:30:00.0000000, 0.2 
2014-01-01 11:00:00.0000000, 0.273 
2014-01-01 11:30:00.0000000, 0.211 
2014-01-01 12:00:00.0000000, 0.316 
2014-01-01 12:30:00.0000000, 0.31 
2014-01-01 13:00:00.0000000, 0.275 
2014-01-01 13:30:00.0000000, 0.504 
2014-01-01 14:00:00.0000000, 0.305 
2014-01-01 14:30:00.0000000, 0.264 
2014-01-01 15:00:00.0000000, 0.25 
2014-01-01 15:30:00.0000000, 0.341 
2014-01-01 16:00:00.0000000, 0.344 
2014-01-01 16:30:00.0000000, 0.377 
2014-01-01 17:00:00.0000000, 0.41 
2014-01-01 17:30:00.0000000, 0.37 
2014-01-01 18:00:00.0000000, 0.368 
2014-01-01 18:30:00.0000000, 0.391 
2014-01-01 19:00:00.0000000, 0.411 
2014-01-01 19:30:00.0000000, 0.413 
2014-01-01 20:00:00.0000000, 0.387 
2014-01-01 20:30:00.0000000, 0.245 
2014-01-01 21:00:00.0000000, 0.2 
2014-01-01 21:30:00.0000000, 0.099 
2014-01-01 22:00:00.0000000, 0.127 
2014-01-01 22:30:00.0000000, 0.094 
2014-01-01 23:00:00.0000000, 0.06 
2014-01-01 23:30:00.0000000, 0.052 
2014-01-02 00:00:00.0000000, 0.059 
2014-01-02 00:30:00.0000000, 0.076 
2014-01-02 01:00:00.0000000, 0.104 
2014-01-02 01:30:00.0000000, 0.07 
2014-01-02 02:00:00.0000000, 0.058 
2014-01-02 02:30:00.0000000, 0.059 
2014-01-02 03:00:00.0000000, 0.085 
2014-01-02 03:30:00.0000000, 0.105 
2014-01-02 04:00:00.0000000, 0.061 
2014-01-02 04:30:00.0000000, 0.058 
2014-01-02 05:00:00.0000000, 0.066 
2014-01-02 05:30:00.0000000, 0.103 
2014-01-02 06:00:00.0000000, 0.084 
2014-01-02 06:30:00.0000000, 0.063 
2014-01-02 07:00:00.0000000, 0.065 
2014-01-02 07:30:00.0000000, 0.077 
2014-01-02 08:00:00.0000000, 0.108 
2014-01-02 08:30:00.0000000, 0.07 
2014-01-02 09:00:00.0000000, 0.243 
2014-01-02 09:30:00.0000000, 0.211 
