DateTime,Predicted_consumption_Kwh
2014-01-08 00:30:00,0.1112683226266729
2014-01-08 01:00:00,0.1017643252390578
2014-01-08 01:30:00,0.0917030902670481
2014-01-08 02:00:00,0.0820935130368693
2014-01-08 02:30:00,0.0747728424025552
2014-01-08 03:00:00,0.0719046019980724
2014-01-08 03:30:00,0.0753091318538274
2014-01-08 04:00:00,0.0858166328356512
2014-01-08 04:30:00,0.1028344808228731
2014-01-08 05:00:00,0.1242687706491554
2014-01-08 05:30:00,0.1468477008775528
2014-01-08 06:00:00,0.1667859515833878
2014-01-08 06:30:00,0.1806338496772591
2014-01-08 07:00:00,0.1860989980184627
2014-01-08 07:30:00,0.1826271405113846
2014-01-08 08:00:00,0.1715847379974603
2014-01-08 08:30:00,0.1559843095976593
2014-01-08 09:00:00,0.1398097064015043
2014-01-08 09:30:00,0.1271018097609034
2014-01-08 10:00:00,0.1210284064235052
2014-01-08 10:30:00,0.1231682106514697
2014-01-08 11:00:00,0.1331860680940843
2014-01-08 11:30:00,0.1489776860253656
2014-01-08 12:00:00,0.1672432345848171
2014-01-08 12:30:00,0.1843406840497241
2014-01-08 13:00:00,0.1971999008016501
2014-01-08 13:30:00,0.2040653312947724
2014-01-08 14:00:00,0.204881741865132
2014-01-08 14:30:00,0.2012314985179882
2014-01-08 15:00:00,0.1958484943992824
2014-01-08 15:30:00,0.1918425376115068
2014-01-08 16:00:00,0.1918405733342355
2014-01-08 16:30:00,0.1972690206359522
2014-01-08 17:00:00,0.207960764960454
2014-01-08 17:30:00,0.2221824276045888
2014-01-08 18:00:00,0.2370661928643337
2014-01-08 18:30:00,0.2493253626038613
2014-01-08 19:00:00,0.2560615517223777
2014-01-08 19:30:00,0.2554523164973472
2014-01-08 20:00:00,0.2471451886796438
2014-01-08 20:30:00,0.2322666627508927
2014-01-08 21:00:00,0.2130597451038969
2014-01-08 21:30:00,0.1922625860234844
2014-01-08 22:00:00,0.1724068727317368
2014-01-08 22:30:00,0.155230647324792
2014-01-08 23:00:00,0.1413624296194529
