,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01 00:00:00,0.17085501082802013,-0.05699050717048603,0.13606851535555017,0.17085501082802013,0.17085501082802013,-0.1316962135077266,-0.1316962135077266,-0.1316962135077266,-0.1316962135077266,-0.1316962135077266,-0.1316962135077266,0.0,0.0,0.0,0.03915879732029354
1,2014-01-01 00:30:00,0.17093153698159028,-0.05432667860807692,0.14605604457349122,0.17093153698159028,0.17093153698159028,-0.12728802256261884,-0.12728802256261884,-0.12728802256261884,-0.12728802256261884,-0.12728802256261884,-0.12728802256261884,0.0,0.0,0.0,0.043643514418971435
2,2014-01-01 01:00:00,0.1710080631351604,-0.041885824672637496,0.15218464817359137,0.1710080631351604,0.1710080631351604,-0.11848231224276201,-0.11848231224276201,-0.11848231224276201,-0.11848231224276201,-0.11848231224276201,-0.11848231224276201,0.0,0.0,0.0,0.05252575089239839
3,2014-01-01 01:30:00,0.17108458928873052,-0.03573530036570214,0.15808834226015986,0.17108458928873052,0.17108458928873052,-0.10882409522297515,-0.10882409522297515,-0.10882409522297515,-0.10882409522297515,-0.10882409522297515,-0.10882409522297515,0.0,0.0,0.0,0.06226049406575537
4,2014-01-01 02:00:00,0.17116111544230067,-0.017068851956037683,0.16840872390097295,0.17116111544230067,0.17116111544230067,-0.10108267343651037,-0.10108267343651037,-0.10108267343651037,-0.10108267343651037,-0.10108267343651037,-0.10108267343651037,0.0,0.0,0.0,0.0700784420057903
5,2014-01-01 02:30:00,0.1712376415958708,-0.02145251722416501,0.16386031467494921,0.1712376415958708,0.1712376415958708,-0.09685394966892896,-0.09685394966892896,-0.09685394966892896,-0.09685394966892896,-0.09685394966892896,-0.09685394966892896,0.0,0.0,0.0,0.07438369192694183
6,2014-01-01 03:00:00,0.17131416774944094,-0.018496140771685987,0.1654127930728412,0.17131416774944094,0.17131416774944094,-0.09648361858844447,-0.09648361858844447,-0.09648361858844447,-0.09648361858844447,-0.09648361858844447,-0.09648361858844447,0.0,0.0,0.0,0.07483054916099648
7,2014-01-01 03:30:00,0.1713906939030111,-0.021164853914208036,0.1694479248488859,0.1713906939030111,0.1713906939030111,-0.09927769690706462,-0.09927769690706462,-0.09927769690706462,-0.09927769690706462,-0.09927769690706462,-0.09927769690706462,0.0,0.0,0.0,0.07211299699594648
8,2014-01-01 04:00:00,0.17146722005658122,-0.029310908354854052,0.16932956448281503,0.17146722005658122,0.17146722005658122,-0.10390011672827366,-0.10390011672827366,-0.10390011672827366,-0.10390011672827366,-0.10390011672827366,-0.10390011672827366,0.0,0.0,0.0,0.06756710332830755
9,2014-01-01 04:30:00,0.17154374621015134,-0.03768781842415246,0.16404479848156706,0.17154374621015134,0.17154374621015134,-0.10882350871720406,-0.10882350871720406,-0.10882350871720406,-0.10882350871720406,-0.10882350871720406,-0.10882350871720406,0.0,0.0,0.0,0.06272023749294728
